spawn qemu-system-riscv64 -semihosting -M virt,aclint=on -cpu rv64 -smp 8 -bios none -kernel nuttx -nographic
ABC[    0.000000] mm_initialize: Heap: name=Kmem, start=0x80206c00 size=2069504
[    0.258000] mm_malloc: Allocated 0xc0204b00, size 48
[    0.259000] mm_malloc: Allocated 0xc0205540, size 80
[    0.260000] mm_malloc: Allocated 0xc0205590, size 48
[    0.260000] mm_malloc: Allocated 0xc02055c0, size 272
[    0.261000] mm_free: Freeing 0xc0200fa0
[    0.261000] mm_malloc: Allocated 0xc0200fa0, size 112
[    0.262000] mm_malloc: Allocated 0xc02056d0, size 80
[    0.262000] mm_malloc: Allocated 0xc0205720, size 48
[    0.263000] mm_free: Freeing 0xc0200fa0
[    0.264000] mm_malloc: Allocated 0xc0200fa0, size 112
[    0.265000] mm_malloc: Allocated 0xc0205760, size 112
[    0.265000] mm_free: Freeing 0xc0200fa0
[    0.266000] mm_malloc: Allocated 0xc0200fa0, size 112
[    0.267000] mm_malloc: Allocated 0xc0201010, size 32
[    0.267000] mm_malloc: Allocated 0xc02057d0, size 80
[    0.267000] mm_free: Freeing 0xc0205720
[    0.268000] mm_malloc: Allocated 0xc0205820, size 128
[    0.268000] mm_free: Freeing 0xc0205760
[    0.269000] mm_malloc: Allocated 0xc02058a0, size 160
[    0.270000] mm_free: Freeing 0xc0205820
[    0.270000] mm_malloc: Allocated 0xc0205940, size 208
[    0.271000] mm_free: Freeing 0xc02058a0
[    0.271000] mm_malloc: Allocated 0xc0205720, size 48
[    0.272000] mm_malloc: Allocated 0xc0205750, size 48
[    0.273000] mm_malloc: Allocated 0xc0205a10, size 240
[    0.273000] mm_free: Freeing 0xc0205940
[    0.273000] mm_malloc: Allocated 0xc0205360, size 32
[    0.274000] mm_malloc: Allocated 0xc0205860, size 32
[    0.274000] mm_malloc: Allocated 0xc0205880, size 32
[    0.275000] mm_malloc: Allocated 0xc02058a0, size 320
[    0.275000] mm_free: Freeing 0xc0205780
[    0.275000] mm_malloc: Allocated 0xc0205b00, size 352
[    0.276000] mm_free: Freeing 0xc0205a10
[    0.276000] mm_malloc: Allocated 0xc0205780, size 64
[    0.277000] mm_malloc: Allocated 0xc02057c0, size 32
[    0.277000] mm_malloc: Allocated 0xc02057e0, size 32
[    0.278000] mm_malloc: Allocated 0xc0205c60, size 432
[    0.278000] mm_free: Freeing 0xc0205b00
[    0.279000] mm_malloc: Allocated 0xc0205800, size 32
[    0.279000] mm_malloc: Allocated 0xc0205820, size 32
[    0.280000] mm_malloc: Allocated 0xc0205a70, size 48
[    0.280000] mm_malloc: Allocated 0xc0205aa0, size 48
[    0.281000] mm_malloc: Allocated 0xc0205ad0, size 48
[    0.281000] mm_malloc: Allocated 0xc0205b00, size 48
